algorithm,community_id,size,year_start,year_end,span_years,temporal_entropy,num_eras,dominant_era,num_countries,geographic_entropy,dominant_country,country_dominance,pagerank_mean,pagerank_std,pagerank_cv,gini_pagerank
Louvain,0,76,1992,2012,20,0.6895092649964162,2,Era Moderna (2000+),14,3.172695807082217,AUS,0.25,0.0009611674606779533,0.0010417753173526953,1.0838645293067721,0.41506326073023225
Louvain,1,32,1932,1936,4,0.0,1,Entre Guerras (1920-1949),3,1.5612781244591325,JPN,0.375,0.0009513714471230397,0.0009335591929612575,0.9812772874194967,0.3885868090566338
Louvain,2,38,1980,1988,8,0.0,1,Pós-Guerra Fria (1980-1999),6,2.2643943853568818,URS,0.39473684210526316,0.0009915512087664744,0.0010007575217097062,1.0092847579245905,0.40808351136731047
Louvain,3,139,2004,2016,12,0.8359399258935529,1,Era Moderna (2000+),22,3.3712538961531284,USA,0.28776978417266186,0.0013787570288490193,0.0031889223434068323,2.3128965268586383,0.5825302427826662
Louvain,4,3,1948,1948,0,0.0,1,Entre Guerras (1920-1949),1,0.0,USA,1.0,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Louvain,5,3,1948,1948,0,0.0,1,Entre Guerras (1920-1949),2,0.9182958340544894,USA,0.6666666666666666,0.0006805500487904642,0.0002597363335433769,0.38165647626505067,0.20568899595800816
Louvain,6,3,1952,1952,0,0.0,1,Guerra Fria (1950-1979),3,1.584962500721156,AUS,0.3333333333333333,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
Louvain,7,3,1896,1896,0,0.0,1,Era Pioneira (1896-1919),3,1.584962500721156,GRE,0.3333333333333333,0.0007075180865595518,0.00025166397743079305,0.35569970890010666,0.1934105687166212
Louvain,8,45,1912,1932,20,0.7768279182625699,2,Entre Guerras (1920-1949),12,2.9845473997932985,USA,0.3111111111111111,0.0009649549356226356,0.0009907685660003286,1.02675112528549,0.4096772926182686
Louvain,9,3,1924,1924,0,0.0,1,Entre Guerras (1920-1949),2,0.9182958340544894,USA,0.6666666666666666,0.0006603240204636486,0.00027137293485743016,0.41096935208700236,0.2155559806638887
Louvain,10,168,1980,2000,20,1.1380977138239696,2,Pós-Guerra Fria (1980-1999),26,3.7738418414200163,USA,0.27976190476190477,0.0010534392271479066,0.0014605373759681848,1.3864467340203956,0.4648891693320367
Louvain,11,8,1980,1980,0,0.0,1,Pós-Guerra Fria (1980-1999),6,2.5,URS,0.25,0.0006715098155725161,0.00039178316814637826,0.5834362492711318,0.27502004467885177
Louvain,12,65,1900,1924,24,1.3909192829724866,2,Era Pioneira (1896-1919),9,2.627879471669186,USA,0.38461538461538464,0.001005774204582045,0.001181653571022405,1.1748696334019102,0.43536308129849566
Louvain,13,3,1900,1900,0,0.0,1,Era Pioneira (1896-1919),2,0.9182958340544894,FRA,0.6666666666666666,0.0006367269874156968,0.00029016339050282183,0.45571084034071935,0.2278597464824199
